violation,region,date_range,age_group,gender,cleared_by_charge,diversionary_program,other_cleared_otherwise,total,year,violation_type,youth_adult,population,year_diff
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,1928,3,106,2037,2015,Trafficking,Adult,31615827,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,470,2,32,504,2015,Trafficking,Adult,31615827,-4
Cannabis- trafficking (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,1877,2,121,2000,2015,Trafficking,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,0,0,1,1,2015,Importation-exportation,Youth,2528132,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,0,1,5,6,2015,Importation-exportation,Youth,2528132,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,3,0,123,126,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,17,0,159,176,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,3,0,69,72,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,21,0,145,166,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,15,0,63,78,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Importation and exportation (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,29,0,331,360,2015,Importation-exportation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,7,0,8,15,2015,Production and cultivation,Youth,2528132,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,31,0,15,46,2015,Production and cultivation,Youth,2528132,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,69,1,7,77,2015,Production and cultivation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,250,1,56,307,2015,Production and cultivation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,125,0,17,142,2015,Production and cultivation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,474,2,68,544,2015,Production and cultivation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,275,0,57,332,2015,Production and cultivation,Adult,31615827,-4
Cannabis- Production (Pre Legalization),Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,998,1,227,1226,2015,Production and cultivation,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,0,0,0,0,2015,Trafficking,Youth,2528132,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,1,0,0,1,2015,Trafficking,Youth,2528132,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,0,0,0,0,2015,Trafficking,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,3,0,0,3,2015,Trafficking,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,1,0,0,1,2015,Trafficking,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,10,0,1,11,2015,Trafficking,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,1,0,0,1,2015,Trafficking,Adult,31615827,-4
"Possession, sale, etc., for use in production of or trafficking in substance",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,6,0,1,7,2015,Trafficking,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of illicit or over 30g dried cannabis (or equivalent) by adult,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Possession,Adult,31615827,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
Possession of over 5g dried cannabis (or equivalent) by youth,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Possession,Youth,2528132,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Possession of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of illicit, over 30g dried cannabis (or equivalent), or to an organization, by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of cannabis to youth, by adult",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of over 5g dried cannabis (or equivalent), or to an organization, by youth",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Production and cultivation,Youth,2528132,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
"Distribution of budding or flowering plants, or more than four cannabis plants",Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Production and cultivation,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Distribution of cannabis by organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of distributing,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to adult,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to youth,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Sale of cannabis to an organization,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Trafficking,Youth,2528132,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Possession of cannabis for purpose of selling,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Trafficking,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Importation-exportation,Youth,2528132,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Importation-exportation,Youth,2528132,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",25 to 34,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",35 to 110,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Importation and exportation of cannabis,Canada,"January 1st, 2015 to December 31st, 2015",35 to 89,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Female,NA,NA,NA,NA,2015,Importation-exportation,Youth,2528132,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",12 to 17,Male,NA,NA,NA,NA,2015,Importation-exportation,Youth,2528132,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Female,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
Possession of cannabis for purpose of exportation,Canada,"January 1st, 2015 to December 31st, 2015",18 to 24,Male,NA,NA,NA,NA,2015,Importation-exportation,Adult,31615827,-4
